model,family,persona_id,distance_from_self
claude-sonnet-4-5,Claude,94,4.115823125451335
claude-sonnet-4-5,Claude,95,4.916299421312742
claude-sonnet-4-5,Claude,96,4.215447781671599
claude-sonnet-4-5,Claude,97,5.58121850495033
claude-sonnet-4-5,Claude,98,4.557411546042337
claude-sonnet-4-5,Claude,99,5.654201977290871
deepseek-v3,DeepSeek,0,6.556675987114202
deepseek-v3,DeepSeek,1,3.694590640382233
deepseek-v3,DeepSeek,2,3.746998799039039
deepseek-v3,DeepSeek,3,3.9166312055132275
deepseek-v3,DeepSeek,4,4.568369512200168
deepseek-v3,DeepSeek,5,8.353442404182841
deepseek-v3,DeepSeek,6,2.9376861643136762
deepseek-v3,DeepSeek,7,2.6172504656604803
deepseek-v3,DeepSeek,8,5.6586217403180425
deepseek-v3,DeepSeek,9,3.0757112998459397
deepseek-v3,DeepSeek,10,4.135214625627066
deepseek-v3,DeepSeek,11,4.339354790749426
deepseek-v3,DeepSeek,12,4.161730409336962
deepseek-v3,DeepSeek,13,7.0611613775638915
deepseek-v3,DeepSeek,14,4.8270073544588685
deepseek-v3,DeepSeek,15,3.6606010435446255
deepseek-v3,DeepSeek,16,3.6193922141707717
deepseek-v3,DeepSeek,17,3.1144823004794873
deepseek-v3,DeepSeek,18,3.7443290453698106
deepseek-v3,DeepSeek,19,3.8026306683663087
deepseek-v3,DeepSeek,20,8.514693182963201
deepseek-v3,DeepSeek,21,2.8284271247461903
deepseek-v3,DeepSeek,22,3.080584360149872
deepseek-v3,DeepSeek,23,2.5079872407968904
deepseek-v3,DeepSeek,24,3.8626415831655936
deepseek-v3,DeepSeek,25,7.103520254071217
deepseek-v3,DeepSeek,26,4.7791212581394085
deepseek-v3,DeepSeek,27,5.807753438292641
deepseek-v3,DeepSeek,28,3.340658617698013
deepseek-v3,DeepSeek,29,5.290557626564519
deepseek-v3,DeepSeek,30,4.817675788178362
deepseek-v3,DeepSeek,31,3.9204591567825315
deepseek-v3,DeepSeek,32,4.446346815083142
deepseek-v3,DeepSeek,33,3.819685850956856
deepseek-v3,DeepSeek,34,6.037383539249432
deepseek-v3,DeepSeek,35,3.7054014627297813
deepseek-v3,DeepSeek,36,3.4698703145794947
deepseek-v3,DeepSeek,37,2.2203603311174516
deepseek-v3,DeepSeek,38,4.2391036788453285
deepseek-v3,DeepSeek,39,3.4073450074801643
deepseek-v3,DeepSeek,40,5.601785429664368
deepseek-v3,DeepSeek,41,4.131585652022719
deepseek-v3,DeepSeek,42,6.1959664298638675
deepseek-v3,DeepSeek,43,3.5383612025908264
deepseek-v3,DeepSeek,44,5.243090691567331
deepseek-v3,DeepSeek,45,7.161005515987263
deepseek-v3,DeepSeek,46,3.0935416596516037
deepseek-v3,DeepSeek,47,6.790434448545985
deepseek-v3,DeepSeek,48,4.92645917470144
deepseek-v3,DeepSeek,49,4.657252408878007
deepseek-v3,DeepSeek,50,4.752893855326458
deepseek-v3,DeepSeek,51,4.422668877499196
deepseek-v3,DeepSeek,52,3.81051177665153
deepseek-v3,DeepSeek,53,4.591296113299599
deepseek-v3,DeepSeek,54,6.2545983084447565
deepseek-v3,DeepSeek,55,3.0528675044947495
deepseek-v3,DeepSeek,56,3.0364452901377956
deepseek-v3,DeepSeek,57,2.4879710609249455
deepseek-v3,DeepSeek,58,7.080254232723568
